rating,text
10,유치할줄 알았는데 너무 슬펐어요~~아들과함께봐서 안볼줄알았는데요 같이 울었어요(7세)ㅜㅜ 재밌게 잘봤어요
10,아이가 재밌다고 좋아해요
8,어른이 봐도 재밌어요
10,아이와 봤는데 재미있었어요. 노래 고퀄!!!
10,아이들이 너무 재밌었다고해요.
10,이 시대 최고의 명작이었습니다 친구와 함께 눈물 한방울 흘리고 왔습니다
10,뮤지컬같은 영화이다. 아이들과 볼수있는 이런 영화가 많이 생겨나면 좋겠다
9,하츄핑 너무 귀엽고 사랑스러워요😆😆
6,사랑의 하츄핑 ~~
10,딸이 재미있게 잘 봤다고 합니다
10,너무 재미있었어요 애들이 좋아해요
7,아이들이 감동도 받고 기분좋게 잘 봤습니다.
10,너무 감동적입니다ㅠㅠ
10,23살 먹고 울었다🥲 로미와 하츄핑 영원히 함께 행복하자👑💖
10,딸과함께괐는데 딸이 좋아합니다
10,하츄핑이 너무 귀여워따 ...
10,아이가 좋아해서 두번째 관람이네요
8,집에 애들이 있으면 함께 보세요
10,너무재미있엇고눈물콧물다흘림
7,아이들이 좋아하네요~
9,딸이랑 봤어요 노래가 듣기 좋고 케릭터가 귀여워요 ㅎㅎ
10,하츄핑 너무 재밋거 사랑스러웠어영 그리거 동화속 그림책에나올법한 캐릭터였어영~
10,리암 잘생김 슬프긴 했지만 울진 않음
5,평이 좋아서 두아들과 관람..글쎄 나만 너무 어른스럽나? 노래는 너무 좋앗음...기대 만큼은 아니엇음
10,해당영화를관람하였습니다
10,해당영화를관람하였습니다
10,너무 재밌고 감동적이에요!
10,뮤지컬 한편을 보는듯...너무너무 사랑스러운 하츄핑 우리나라 애니 넘 좋아요.두번 봤어요.ㅎㅎㅎ
10,사랑의 하츄핑 굳굳
10,ㅋㅋㅋ와 넘 웃겼는데ㅋㅋ울었다..
8,사랑의 하츄핑 감동ㅠ ㅠ
10,너무너무 귀엽고 사랑스러워요 ♥️
10,아이가 재밌었다고 하네요
10,하츄핑이 너무 귀여워요
10,아이들도 좋아하고 어른들이 봐도 감동이 있네요~ 노래가 다 너무 좋아요
10,액션이나 중간중간 삽입곡들 아동영화라고 유치하지않다
10,사랑의 핫츄핑 재미있네요
10,아들이 느므느므 좋아했어요:) 노래도 신나고
10,울렸다 웃겼다 하네요 재밌습니다
10,아이들 보여줬는데 너무 감동이래요!!
8,귀여운 애들이 나와서 재미있었어요!!~
10,"웃음과 감동이 있는 영화, 아이와 잘 봤습니다"
10,아이들이 감동이라 하네요
10,아이와 너무 재밌게 봤어요!!
9,아이가 좋아 하네요!
9,귀엽고 슬프고 영상미좋아요
10,즐겁게 관람했어요 잘봣어요
10,재밌게 잘 봤습니다 ㅎㅎ
10,영상이 너무 예쁘고 아름답습니다
10,감동과 재미가 동시에 있네요
10,만족합니다 추천합니다
10,너무너무 재미있게 봤습니다
10,캐릭터가 인상적이였고 인기가 많은 캐릭터라 더 호감이 갔다 다음에도 또 보고싶다
10,하츄핑 너무 귀여워요🩷🩷🩷🩷🩷 뮤지컬 애니메이션!
8,그렇게 슬프진 않았어요 근대 결말이 좀...
10,이 영화는 아이 어른 구분없이 봐야겠어요. 내가 갖고놀던 인형 지겹다고 버리면 안되지요.
10,최고에요 어른이도 눈물펑펑쏟았습니다 리암왕자너무잘생겼어요 피규어나오면 무조건삽니다
10,아이들이 감동이 있다고 말해주네요 어른도 지루하지 않고 잘 봤어요
10,재밌고 감동이 있어요
10,너무 재밌어요 ! 눈물 나와요… 스토리 미쳤어요
10,하츄핑 너무 귀엽고 사랑스러워요!!
8,재미있고 즐겁게 봤습니다
10,아이들이 너무 좋아했어요.
10,내용이 너무 조아요 가족끼리 보기에 참 좋습니다
10,애기랑 봤는데 너무 좋았네요
10,"감동적이고 영상이 예뻐요,"
10,너무 재밌어요!!!
10,ost도 좋고 재밌게 봤어요
10,사랑의하츄핑사랑해앵
10,10살 11살 딸이랑 같이 봤는데 너무재밌었습니다
10,재밌게 봤어요....
10,처음부터 빌런이 되는게 아니다. 다 사연이 있다.
10,추천합니다 재미있어요
10,파산핑이라도 귀여워
10,아이랑 재밌게 봤어요^^
7,아이들이 좋아할만한
10,하츄핑 팬이되어 돌아옴
10,궈여워요 귀여워요 귀여워요
10,아이들이 감동받고 좋아해요
10,너무 사랑스러운 영화예요^^
10,아이들과 너무 재밌었다고 해요 감동받았다네요^^
10,재밌었어요. 아이들이 좋아할만한 이야기예요!
10,어른이 봐도 재밌었어요
10,재미있게 잘 봤습니다
10,영상과 노래를 잘어울려지게 만든거같아요
10,감동적인 영화였어용💗 사랑해 하츄핑💗 노래도 넘 좋다💗
10,너무 재미 있었는데 마직막 인가 중간에 슬픈 장면이 나와서 조금울면서 좋게 봤어요.
8,어른도 눈물 찔끔 나올 만큼 감동적이었다
10,아이들과 함께 재밋게 잘 봣습니다 ㅎㅎ
10,조카랑 같이 관람 했는데 스토리가 탄탄하고 음악이 좋았습니다 삼촌핑!!
10,아이들과 같이 봤는데 아이들이 매우 좋아하네요
10,초딩도 중딩도 다 울었어요
10,애기가 좋아하니 저도 좋았고 사실 어른입장에서도 좀 재미있기도 했어요 ㅎㅎ 잘 본것 같아요. 왠지 또볼거 같아
10,한가하고 좋았습니다
10,아이들이 너무재미있었대요
10,고등학생들한테도 너무 감동적이고 재밌는 스토리였습니다 재밌게 잘 봤습니다!!
5,하츄핑에 왜저렇게 목매는지 이유가 궁금하다.
10,재밌게 잘 봤습니다
10,중학생 딸도 넘재밌는 사랑의 하츄칭~~
10,아이들이 좋아하면 뭘 더 바라겠어요
10,아이가 너무 좋아하네요
10,고2도 재밌게 봤어요 생각보다 내용도 좋아서 친구들이랑 즐겁게 봤네용
10,좋아요.눈물나게슬퍼요
9,한국 애니메이션의 미래가 기대된더
10,아이들과 너무 잼있게 봤어요 어른인 저도 푹 빠져서 봤네요~^^
10,좋아요 좋아요 좋아요
10,귀엽고 재미있게 봤어요 ㅎㅎ
10,아이들과함께 할수 있어서 너무 좋았어요
10,엄마 아삐도 눈물을 흘릴민큼 잘 짜여진 슬픈 스토리
10,재밌게 놀아 진짜 많이
10,딸아이는 눈물까지 흘리며 아주 잼있게봤어요
10,스토리 전개가 너무 재미있었대요
10,성인인데 울었어요..
9,환상적이고 이쁜 배경과 귀여운 캐릭터
10,재밌게 잘 봤습니다
10,넘 재밌고 감동적이었어요
9,생각보다 볼 만했다. 아이는 즐겁고 재밌게 보았다
10,재밌어요 하츄핑 보고 있으면 기분이 좋아요
10,너무 예쁜 로미와 하츄핑~
7,애는 좋아해요. 어른은 그닥 ㅋ
10,유아 자녀와 관람하였는데 스토리가 매우 재미 있었다
10,어른이봐도 재미있음. 뮤지컬느낌나는 괜찮은 영화
10,초등학생 필수래서 예매해줬요. 요새 딸이 하츄핑에 빠져서 사네요.
8,하고 싶은것도 갖고 싶은것도 많은 빨간머리 앤이 부족함이 없어 보이는 분홍머리 공주로 환생하였음에도 인형찾아 삼만리 하는듯한 영화. 내나이 60에 봤어도 나름 재미있음.
10,감동적이고 재미있었다
7,성인이 보기엔 약간 오글거리고 유치하긴 했지만 재밌었다. 특히 애기들 반응이 너무 귀여웠음ㅜㅠ ost도 은근 좋았당
10,하츄핑이 귀여웠다..
10,아이와 잼나게 잘봤어요
10,아이가 보기 참 좋은 애니메이션
10,사랑의 하츄핑 아이들의 인기는 계속 상승중~!!!
10,애들이 너무 재미있어 했고 핑크핑크해서 여자아이들이 좋아했어요
10,7세 딸아이가 좋아해요
10,아이들이 재미있고 좋았대요
10,사랑해 하츄핑 담 극장판도 기대해
10,아이들이 너무 좋아하네요 재미있었다고 집에 오면서도 얘기하네요ㅎㅎ
10,재미있게 잘 봤습니다~
10,너무 재밌었어요!! 아기들이 보는 애니메이션인 줄 알았는데 스토리텔링이 진짜 좋았던 거 같아요 이 영회를 계기로 애니메이션도 찾아보게 되었습니당
10,아이들이 재밌어 했습니다. 어른과 같이봐도 좋네요
10,아빠 나 하츄핑 사줘...(33세 여자으른이ㅎ)
10,아이들이너무 재미있어했어요.
10,보는 내내 너무 재밌어서 눈을 뗄수가 없었어요 !! ♡
10,재미있게 봤어요 ~~~
10,한국영화업계가 보고 배워야 될 정도 아동심리학자들을 매수하여 만든만화
10,재미있었어요 아이가 좋아해요
9,재밌게 잘 봤어요~~
10,아이들 보는거고 집에서 늘 보던거라 별기대안하고 갔었는데 잼있게 잘 봤습니다. 끝에 괜히 짠해지면서 살짝 감동도 있었어요ㅎㅎ
10,내용은 너무 재밌고 탄탄했지만! 로미가 10살인데 노래부를때 목소리가 너무 어른스러워서 아쉬웠다
10,윈터가 부르는 OST가 기억에 남아요^^;
10,티니핑 모르는 사람이 봐도 재밌었음
10,아이들이 좋아했어요 귀여워요
10,하츄핑이 넘 귀여웠어요
7,딸들에게 하츄핑은 사랑이죠
9,미움으로 가득 찰때 강추!! 온통 하트로 마무리♡♡
10,"""전체적으로 내용이 좋고 재미있었어요""라고 큰딸 응답"
10,스토리있고 감동적이였어요ᆢ아이도엄마도 빠져서봤네요~
10,노래가 귓가에 맴도네요.
8,아이들과 추석연휴에 가족드라마 한편보는 시간이었네요
10,티니핑 전혀 안봤지만 프리퀄이라 작품 시작하기 좋았습니다. 마무리가 다소 아쉬웠지만 엉엉 울었습니다.
10,감동적이예요. 아이들은 눈물을. ..
10,감동적인 스토리가 맘에 들었어요 재밌습니다
10,아들래미랑 너무너무 재미있게 봤어요^^
10,아이들과 즐거운 시간이었어요
10,재미있네요 아이들이 좋아합니다.엄지척.
10,아이들이 너무 좋아하네요
10,재밋엇는데 급전개 느낌이^^.. 재밋긴 햇어요👍🏻
10,노래와 애니 모든게 좋았다
10,아이와 함께 봤는데~ 슬프기도 하고 감동이었어요
10,잘봤습니다.사랑의 하츄핑
10,"유치할 거라고 생각은 했지만 노래도 좋고 힐링되는 영화였습니다. 히츄핑이 키우던 강아지나 아이돌인 것 같았고 로미가 강아지 주인, 아이돌팬인 것 같이 느껴졌어요. 하츄핑 넘귀엽핑❤"
10,딸내미가 눈물 펑펑 흘리면서 봤어요
10,올해의 영화!!! 로 강추.. 전 아이들 데리고 봤지만 앞의 20대 청년 3명은 왜 온거지?? 그런데 끝나고 박수를 치더라는 ㅋㅋㅋㅋ
10,영화가 감동적이었어요
10,아이들이 엄청 좋아해요~ㅎ
10,왕자님이 너무 멋지고 음악이 좋아요
10,아이와 재미있게 봤어요
10,아이들이 좋아해서 전..전..그걸로 좋았어요..
8,노래가 너무 좋다..
10,사랑의 하츄핑 좋았어요
10,로미(이모션 왕국의 공주)하츄핑 과의 캐미 로미가 하츄핑을 만나는 여정까지 재밌고 노래가 재미있었습니다
10,아이랑 너무 재미맀게 봤어요^^
8,명절연휴. 조카와함께
10,아이들이 좋아 하네요
10,기대보다 너무 좋은 작품이었어요 제가 하츄핑보고 울 줄은 몰랐지요 ㅎㅎ 노래가 너무 좋네요
10,조카손녀하고 봤는데 어른이봐도 너무 영상이 아름답고 내용도 좋고 재미있게 봤어요.
10,감동적인 하츄핑~~!!
10,조카랑 봤어요. 아이들은 좋았겠죠?…^^
10,구성이 아주 감동적으로 노래도 훌륭
7,오랫만에 어린시절로 돌아가서 봤어요^^~
10,초3 재미있었대요
10,추석맞이 핑핑수월래.. 굿띠.. 어른이봐도 감동적이에용
10,애들이 재밌어했어요
9,다음 극장판도 나왔으면 좋겠네요
10,사랑의 하츄핑 ㅠ 애기들은 그렇다쳐도 부모들은 왜 자꾸 수군거리면서 폰 만짐? 이런 부모들이 인터넷에서는 중국넘들 무질서하다고 댓글달고다니겠지
10,아이들이 너무 좋아하네요.. 스토리가 좋고 영상미가 너무 짱이였어요
10,가족과 너무 좋았어요.
10,핑들이 너무 귀여워요
10,어른한텐 별로 ㅋㅋ 아이들한텐 좋아요 ㅋ
10,ㅎㅎ 어른들도 후기 좋길래 봤는데.. 전 현타 왔습니다.. 그래도 애들은 엄청 좋아해요.. 구웃
10,7살 딸이랑 봤어요 영상 스토리 노래 넘 좋아요
10,어쩌면 영원한 것도 있다
10,재밌어요 엄청 애기들은 무서울 수 있어요
8,재밌게 봤습니다 아이가
9,중2 여학생이 보고 울었습니다
8,"노래는 별로 였지만, 스토리는 좋다. -초4 딸 감상평-"
10,아이들이 좋아합니다.
10,영화는재밌었습니다만 하늘도시에도 메가박스있지만 영종 간건데 서비스가너무아쉽습니다 팝콘도카라멜팝콘안되고 음료리필도 번호표뽑으라고눈도안마주침 웃음은커녕친절함1도없는ai같은 응대
